happiness,social,open_mindedness,giving,funnybone
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
75,15,25,80,55
