happiness,social,open_mindedness,giving,funnybone
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
23,33,60,10,10
