happiness,social,open_mindedness,giving
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
75,60,79,95
73,59,79,96
73,59,79,96
73,59,79,96
73,59,79,96
73,59,79,96
73,59,79,96
73,59,79,96
72,59,79,97
71,59,79,97
71,59,79,97
71,59,79,97
71,59,79,97
71,59,79,97
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
73,58,79,98
92,68,83,93
92,68,83,93
92,68,83,93
92,68,83,93
92,68,83,93
92,68,83,93
92,68,83,93
92,68,83,93
92,68,83,93
92,68,83,93
92,68,83,93
92,68,83,93
92,68,83,93
92,68,83,93
92,68,83,93
92,68,83,93
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
87,70,82,89
89,69,82,90
89,69,82,90
89,69,82,90
89,69,82,90
89,69,82,90
89,69,82,90
89,69,82,90
89,69,82,90
89,69,82,90
89,69,82,90
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
79,71,80,81
85,75,78,74
85,75,78,74
85,75,78,74
81,77,77,78
81,77,77,78
81,77,77,78
81,77,77,78
81,77,77,78
81,77,77,78
81,77,77,78
81,77,77,78
81,77,77,78
81,77,77,78
81,77,77,78
81,77,77,78
81,77,77,78
81,77,77,78
81,77,77,78
81,77,77,78
81,77,77,78
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
59,80,80,71
48,81,78,61
48,81,78,61
48,81,78,61
48,81,78,61
49,81,78,61
49,81,78,61
49,81,78,61
49,81,78,61
49,81,78,61
49,81,78,61
49,81,78,61
49,81,78,61
49,81,78,61
49,81,78,61
49,81,78,61
49,81,78,61
49,81,78,61
49,81,78,61
49,81,78,61
49,81,78,61
49,81,78,61
49,81,78,61
49,81,78,61
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
53,79,77,58
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
54,79,77,59
55,79,77,59
55,79,77,59
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
57,78,77,60
65,82,76,67
65,82,76,67
65,82,76,67
65,82,76,67
65,82,76,67
65,82,76,67
65,82,76,67
65,82,76,67
65,82,76,67
65,82,76,67
65,82,76,67
65,82,76,67
65,82,76,67
65,82,76,67
65,82,76,67
65,82,76,67
65,82,76,67
66,82,76,67
64,83,76,69
64,83,76,69
64,83,76,69
64,83,76,69
64,83,76,69
64,83,76,69
64,83,76,69
64,83,76,69
64,83,76,69
65,83,76,70
65,83,76,70
65,83,76,70
65,83,76,70
65,83,76,70
65,83,76,70
65,83,76,70
65,83,76,70
60,86,75,65
60,86,75,65
60,86,75,65
60,86,75,65
60,86,75,65
60,86,75,65
60,86,75,65
60,86,75,65
60,86,75,65
60,86,75,65
60,86,75,65
60,86,75,65
60,86,75,65
60,86,75,65
72,82,73,75
72,82,73,75
72,82,73,75
72,82,73,75
72,82,73,75
72,82,73,75
72,82,73,75
72,82,73,75
72,82,73,75
72,82,73,75
79,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,75,83
80,84,76,83
80,84,76,83
80,84,76,83
80,84,76,83
80,84,76,83
80,84,76,83
80,84,76,83
80,84,76,83
80,84,76,83
80,84,76,83
80,84,76,83
80,84,76,83
80,84,76,83
82,85,76,84
82,85,76,84
82,85,76,84
82,85,76,84
82,85,76,84
82,85,76,84
82,85,76,84
82,85,76,84
82,85,76,84
82,85,76,84
82,85,76,84
82,85,76,84
82,85,76,84
82,85,76,84
82,85,76,84
82,85,76,84
82,85,76,84
82,85,76,84
82,85,76,84
82,85,76,84
83,85,76,84
83,85,76,84
83,85,76,84
83,85,76,84
83,85,76,84
83,85,76,84
83,85,76,84
83,85,76,84
83,85,76,84
83,85,76,84
83,85,76,84
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,76,85
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
84,85,72,70
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
87,85,73,88
